GEO;LOC;DA;EJAFUNG1;EJAFUNG2;EJAFUNG3;EJAFUNG4;EJAFUNG5;EJAMED1;EJAMED2;EJAMED3;EJAMED4;EJAMED5
Tocantins;Total;Pública;16,5;0,1;58,9;1,9;22,6;52,5;0,8;36,0;1,8;8,9
Tocantins;Urbana;Pública;21,1;0,1;66,8;1,8;10,2;58,9;1,0;37,7;1,9;0,5
Tocantins;Rural;Pública;8,3;0,0;44,9;2,3;44,5;27,7;0,0;29,7;1,5;41,1
Maranhão;Total;Total;6,6;0,3;34,9;3,0;55,2;41,0;1,0;47,8;3,5;6,7
Maranhão;Urbana;Total;11,7;0,5;46,9;4,9;36,0;43,0;0,9;47,1;3,4;5,6
Maranhão;Rural;Total;3,0;0,1;26,3;1,6;69,0;31,9;1,4;51,1;4,1;11,5
Maranhão;Total;Federal;100,0;0,0;0,0;0,0;0,0;82,9;5,1;8,8;1,8;1,4
Maranhão;Urbana;Federal;100,0;0,0;0,0;0,0;0,0;80,5;4,6;10,7;2,3;1,9
Maranhão;Rural;Federal;34,0;0,4;47,9;2,1;7,8;86,6;5,8;5,8;1,2;0,6
Maranhão;Total;Estadual;20,0;0,7;49,8;2,8;26,7;40,6;0,9;48,4;3,4;6,7
Maranhão;Urbana;Estadual;28,6;1,2;55,7;4,2;10,3;43,3;0,9;47,2;3,2;5,4
Maranhão;Rural;Estadual;13,6;0,3;45,4;1,7;39,0;28,5;0,9;53,9;4,4;12,3
Maranhão;Total;Municipal;6,1;0,3;34,2;2,9;56,5;17,4;1,8;60,4;6,3;14,1
Maranhão;Urbana;Municipal;11,0;0,5;46,2;4,9;37,4;17,1;0,4;59,2;8,6;14,7
Maranhão;Rural;Municipal;2,8;0,1;25,9;1,6;69,6;18,2;5,7;63,6;0,0;12,5
Maranhão;Total;Privada;19,9;0,0;59,3;4,6;16,2;34,9;0,8;52,9;3,8;7,6
Maranhão;Urbana;Privada;19,7;0,0;59,7;4,7;15,9;34,9;0,8;52,9;3,8;7,6
Maranhão;Rural;Privada;33,3;0,0;41,7;0,0;25,0;54,45;0,8;36,0;2,3;2,2
Maranhão;Total;Pública;6,4;0,3;34,5;2,9;55,9;41,4;1,0;47,5;3,5;6,6
Maranhão;Urbana;Pública;11,4;0,5;46,5;4,9;36,7;43,6;0,9;46,6;3,3;5,6
